target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
MSTRG.15627	6.821657	7.214398	7.658044	1.5877239	1.3210027	2.34593939	8.2918302	3.308111	7.2867039	9.6754016	9.991877	4.6758983	9.921141	33.0451	33.2511
MSTRG.21349	7.28618	7.00771	6.68487	5.887773	4.791512	7.6301	7.458655	8.149226	5.93081	8.061921	6.570365	6.484026	10.155053	17.961518	18.226714
MSTRG.4261	11.519618	11.45101	12.2978	3.545369313	3.526401	3.154759	3.45296	5.6946157	10.583241	5.995445	10.790101	5.261523	7.284386	16.136088	18.455268
MSTRG.7175	4.68783	4.96316	4.73927	9.74311	7.28349	7.21921	3.65729	3.712787	8.30337	10.5888	9.97275	10.4065	5.4784577	7.686779	8.44273
MSTRG.14872	3.494553	3.903092	3.58062	5.055150848	4.286460125	10.8784	6.11913	8.86199	20.79786	21.2049	27.18065	19.63880002	25.8545	7.282944	7.106014
MSTRG.1882	3.67213	2.9416	3.17217	7.28199	7.04676	9.71269	10.0204	2.1027	50.8243	34.2684	56.772	23.7131	13.8762	3.61701	2.42502
MSTRG.10566	16.556111	15.9015658	15.5552732	2.387514	1.6560355	2.139923	4.274404	8.563523002	13.8725077	7.8195138	12.05991974	5.31889976	5.3747632	7.279259	6.5564468
MSTRG.13048	0.12966533	0	0.243652	5.42343	4.9978583	6.80744	13.79257	7.203104	9.528763	14.148586	9.986442	7.268767	17.100975	14.8944	14.467915
MSTRG.15415	7.35171	7.26848	6.4787	2.70177	1.59497	1.63905	3.58961	6.68424	17.7605	9.48224	12.477	5.60302	7.40922	9.50383	10.0957
MSTRG.6731	4.558163	4.065148	3.85085	8.75712	9.11639	9.70967	3.217367	3.27342	9.52546	6.89309	8.62045	5.46766	7.26664	17.6035	18.39508
MSTRG.19584	3.64191	3.79024	3.4518	3.38748	3.50567	4.66082	6.55361	7.26508	9.44472	13.357	9.50062	8.36831	33.5953	8.82693	9.66543
MSTRG.4495	11.7204	12.12311	10.1708	1.822503	1.171908	2.41025	2.818331	14.95126	7.26447	7.87255	4.24165	2.38427	3.70855	28.25994	24.80094
MSTRG.18572	7.51154	6.43562	6.11537	2.482054	2.116395	3.2854139	3.509784	4.90682	12.73382	12.640918	13.605981	11.46879	7.261068	18.17843	17.73431
MSTRG.8241	0.97667	1.08686	1.45848	8.16728	7.26085	7.24093	5.10665	5.84103	10.1343	11.5206	11.3521	8.18109	5.4429	10.8837	10.7427
MSTRG.19241	13.6358	14.0516	14.1179	5.52493	4.8855	6.56379	5.94243	10.3332	6.1647	9.63766	7.25899	7.63219	10.3968	3.19866	3.55109
MSTRG.19265	16.68527	16.575137	15.73534	2.489039	2.750999	3.129461005	7.324765	6.56759	10.47491	7.2581769	11.33846	6.098433	8.043302	6.458569	6.16279
MSTRG.13625	2.379436	1.749401	1.894806	4.32504328	3.028269001	4.876990647	8.806569	5.164881	7.812961949	7.3943	10.183892	7.255373	10.6903931	9.615286	8.910551
MSTRG.14424	6.748735	7.2530826	7.5052818	4.132009	3.5564393	5.134535	2.6004371	4.80902	16.716509	10.501804	16.414346	8.03952	5.5418416	11.39585	9.74212
MSTRG.18279	6.143427	5.515988	5.743652	3.04494	1.920345	4.45478	3.51856	11.254	12.57195	12.91729	10.82164	7.25211	11.11651	46.2833	48.0034
MSTRG.20156	8.26512	7.97768	8.88885	0	0	0	0	8.96177	9.26322	4.52306	9.44353	0	0	7.2486	11.0798
MSTRG.17619	2.19218	1.50726	2.60954	10.0416	7.45914	8.39216	5.69262	10.646	4.18615	9.8845	6.40865	8.34092	6.66002	7.2401	8.67253
MSTRG.10184	16.24847	18.79259	17.39911	4.20248	3.189001	7.237702	5.58131	11.43142	7.168974	12.87272	4.206529	4.962448	4.98812	25.68258	27.11514
MSTRG.1122	7.04426	7.19676	7.23388	2.48789	2.15096	2.72076	8.34724	12.9758	21.298	19.4322	14.935	9.00888	8.64129	4.73258	4.83321
MSTRG.1866	3.68102	2.676322	1.767292	6.855567	6.25724	10.24656	5.34033	5.3604	8.426738	11.490117	10.949639	8.345514	7.22461	10.93833	9.01733
MSTRG.16753	9.29231	7.22446	7.72293	4.30277	3.86472	4.58025	5.06493	6.80805	20.1776	13.3152	17.5696	11.8997	7.65335	4.38807	4.34071
MSTRG.8709	10.8251	10.3948	10.4968	3.01097	2.85556	2.98132	3.019911	10.4208	11.8516	6.71138	8.58058	3.8366058	5.13544	7.22238	8.40702
MSTRG.17158	5.47831	4.94559	5.80564	5.7429	5.19974	6.58948	7.90309	6.70583	10.17828	10.0985	9.53629	7.22147	13.6906	26.80268	25.64002
MSTRG.11261	4.27646	3.8112	4.28234	10.3165	8.77202	9.00407	7.22126	8.95289	6.75629	12.2063	8.92165	10.7404	5.69179	5.52384	4.84939
MSTRG.14204	1.57836	1.50081	1.78738	8.99239	7.22096	11.4182	10.50006	2.775193	8.220505	18.45818	21.0431	9.7306	4.480003	5.15127	4.2775
MSTRG.15604	6.997309	7.31127	7.220436	2.519817	0.6289111	0	19.14626	62.8786	41.7203	31.0764	4.75543	0.052634408	5.78492	562.079	556.853
MSTRG.10126	1.61265	12.8133	7.21388	9.6324	28.8194	11.9544	203.21	26.1777	1.05465	0.619615	2.47311	1.40912	14.7448	0	0
MSTRG.8508	0.962418	1.046511	1.276808	7.20659	8.69711	7.63907	4.82326	7.21388	14.26989	22.65045	15.71357	15.25435	7.51535	6.08563	5.67109
MSTRG.8832	1.06564	1.37593	0.778571	11.2595	7.20268	8.19696	4.67126	4.12691	27.86	15.0249	28.5812	15.7435	11.6343	0.820283	1.0146
MSTRG.3971	0.16872	0	0.172757	12.6289	14.0039	15.1636	5.47153	5.45955	6.42215	13.1315	8.77763	10.1543	5.48162	8.41482	7.19121
MSTRG.15368	43.04878	43.10639	43.24964	3.25049	2.3562	1.47172	1.440635	7.190645	7.941257	4.214621	7.36914	2.65442834	5.50838	22.28789	20.885
MSTRG.12891	1.24434	2.09201	1.177	7.3353	7.50355	7.09938	7.1902	11.892711	6.80101	10.0162077	9.40066	9.27164	7.87452	4.29573	6.46405
MSTRG.3331	5.950951	5.213184	5.938737	3.447409	3.3562192	5.245615199	7.18869	4.714366	10.126971	11.707526	12.592491	8.751252	8.987851	21.172218	20.388387
MSTRG.7292	4.04514	4.59135	5.03744	4.49268	4.20155	4.29144	5.09171	10.054	10.0729	9.29476	9.48141	7.18822	7.57044	25.2251	25.9412
